"",46.800
0.0000,4.6800E+001
1.0000,4.6800E+001
2.0000,4.6800E+001
3.0000,4.6800E+001
4.0000,4.6800E+001
5.0000,4.6800E+001
6.0000,4.6800E+001
7.0000,4.6800E+001
8.0000,4.6800E+001
9.0000,4.6800E+001
10.0000,4.6800E+001
11.0000,4.6800E+001
12.0000,4.6800E+001
13.0000,4.6800E+001
14.0000,4.6800E+001
15.0000,4.6800E+001
16.0000,4.6800E+001
17.0000,4.6800E+001
18.0000,4.6800E+001
19.0000,4.6800E+001
20.0000,4.6800E+001
21.0000,4.6800E+001
22.0000,4.6800E+001
23.0000,4.6800E+001
24.0000,4.6800E+001
25.0000,4.6800E+001
26.0000,4.6800E+001
27.0000,4.6800E+001
28.0000,4.6800E+001
29.0000,4.6800E+001
30.0000,4.6800E+001
31.0000,4.6800E+001
32.0000,4.6800E+001
33.0000,4.6800E+001
34.0000,4.6800E+001
35.0000,4.6800E+001
36.0000,4.6800E+001
37.0000,4.6800E+001
38.0000,4.6800E+001
39.0000,4.6800E+001
40.0000,4.6800E+001
41.0000,4.6800E+001
42.0000,4.6800E+001
43.0000,4.6800E+001
44.0000,4.6800E+001
45.0000,4.6800E+001
46.0000,4.6800E+001
47.0000,4.6800E+001
48.0000,4.6800E+001
49.0000,4.6800E+001
50.0000,4.6800E+001
51.0000,4.6800E+001
52.0000,4.6800E+001
53.0000,4.6800E+001
54.0000,4.6800E+001
55.0000,4.6800E+001
56.0000,4.6800E+001
57.0000,4.6800E+001
58.0000,4.6800E+001
59.0000,4.6800E+001
60.0000,4.6800E+001
61.0000,4.6800E+001
62.0000,4.6800E+001
63.0000,4.6800E+001
64.0000,4.6800E+001
65.0000,4.6800E+001
66.0000,4.6800E+001
67.0000,4.6800E+001
68.0000,4.6800E+001
69.0000,4.6800E+001
70.0000,4.6800E+001
71.0000,4.6800E+001
72.0000,4.6800E+001
73.0000,4.6800E+001
74.0000,4.6800E+001
75.0000,4.6800E+001
76.0000,4.6800E+001
77.0000,4.6800E+001
78.0000,4.6800E+001
79.0000,4.6800E+001
80.0000,4.6800E+001
81.0000,4.6800E+001
82.0000,4.6800E+001
83.0000,4.6800E+001
84.0000,4.6800E+001
85.0000,4.6800E+001
86.0000,4.6800E+001
87.0000,4.6800E+001
